"Thomas Soto","STSO-3234"
"Christy Cook","ITWS-1687"
"Ebony Greene","MATH-2765"
"Cindy Palmer","BIOL-3661"
"Timothy Moss","ECSE-1369"
"Paula Cole","BIOL-2488"
"Rachel Bailey","ECSE-1258"
"Kevin Warner","PSYC-4207"
"Robert House","CHEM-2620"
"Robert Mcknight","BIOL-2858"
"Noah Weber","STSO-2804"
"Sean Reynolds","CHEM-1411"
"Paul Browning","ENGR-4700"
"Lisa Hogan","ENGR-2871"
"Jason Smith","STSO-3198"
"Lisa Jackson","MATH-1977"
"Jon Dorsey","PHYS-4921"
"Cindy Kennedy","ECSE-3197"
"Patty Singleton","ENGR-2703"
"Sara Jones","PHYS-1577"
"Allison Lane","MATH-4354"
"Gerald Williams","ITWS-1744"
"Deborah Vargas","MATH-4321"
"Mitchell Banks","PSYC-1647"
"Jeremiah Newton","BIOL-2624"
"Daniel Stevens","CHEM-2306"
"Debbie Hunt","PHYS-4940"
"Adam Arnold","ENGR-1825"
"April Williams","BIOL-3773"
"Douglas Wiggins","BIOL-3579"
"Melvin Russell","CSCI-2178"
"Cassandra Cortez","ITWS-4463"
"Susan Clark","CSCI-3530"
"Stephanie Murray","ECSE-3994"
"Michael Wilson","CHEM-3888"
"Jordan Torres","PSYC-1213"
"Ashlee Wright","ENGR-1342"
"Ryan Hudson","ECSE-3792"
"Ashley Carroll","PSYC-2408"
"Anna Boyd","BIOL-4555"
"Krystal Roy","MATH-4662"
"Brandon Nichols","CHEM-3468"
"Danny Porter","CHEM-1024"
"Julie Simpson","CHEM-4125"
"Alicia Mcbride","BIOL-1896"
"Andrea Keller","BIOL-2340"
"Richard Morgan","PSYC-4124"
"Rebecca Wells","CSCI-4828"
"Allison Sullivan","CHEM-1438"
"Michelle Cain","ECSE-2927"
"Jimmy Jackson","CSCI-3318"
"Linda Thompson","BIOL-2297"
"Faith Sparks","ENGR-4344"
"Travis Bennett","ENGR-3444"
"Christopher Singleton","STSO-3786"
"Regina Singh","MATH-1937"
"Whitney Anderson","PHYS-4299"
"Jennifer Obrien","CSCI-3283"
"Isabella Ochoa","ECSE-3893"
"Christina Herrera","PSYC-1592"
"Ashley Herrera","PHYS-1029"
"Lindsay Anderson","ENGR-3557"
"Ashley Murphy","CSCI-4886"
"Richard Thomas","PSYC-1401"
"Cory Miller","BIOL-3442"
"Jasmin Myers","ITWS-3654"
"Vincent White","ECSE-4332"
"Kathryn Davis","CSCI-2201"
"Penny Roberts","MATH-4185"
"Katherine Haynes","ITWS-3364"
"Kimberly Saunders","PSYC-1541"
"Krystal Day","PSYC-1150"
"Robert Quinn","ENGR-3522"
"Barbara Pennington","PSYC-1828"
"Joshua Jackson","STSO-2470"
"Tasha Valencia","ENGR-1688"
"Susan Patel","PSYC-2094"
"Christian Reyes","PSYC-4954"
"Chelsea Arnold","ENGR-4177"
"Austin Stewart","ENGR-4447"
"Eric Riddle","ITWS-3406"
"Patrick Richmond","STSO-4069"
"Matthew Wagner","CHEM-4580"
"Brady Meyers","STSO-2084"
"Kim Duran","ITWS-3180"
"Robert Foster","BIOL-3875"
"Vincent Lee","BIOL-3906"
"Cynthia Baker","STSO-1126"
"Ivan Carter","BIOL-1605"
"Marie Wise","ITWS-3284"
"Jeffrey Ramirez","CHEM-3507"
"Veronica Hodge","ECSE-4755"
"Dakota Evans","CSCI-3530"
"Timothy Morton","MATH-2556"
"Thomas Bryant","MATH-2354"
"Linda Wolfe","CSCI-4516"
"Logan Collins","ITWS-3712"
"Brandon Spencer","PSYC-1150"
"Ivan Jones","PSYC-4281"
"Bradley Anderson","PSYC-2826"
"Cheryl Walker","ECSE-4405"
"Gina Garcia","STSO-3752"
"Jose Garcia","ECSE-2245"
"Shane Gates","PHYS-3202"
"Erika Stanton","ITWS-4393"
"Thomas Anderson","MATH-2167"
"Tamara Hogan","MATH-3445"
"Molly Gomez","ENGR-3422"
"Joseph Ortiz","CHEM-1918"
"Steven Garrison","PSYC-2386"
"Ashley Huff","BIOL-4525"
"Shannon Beard","ECSE-1803"
"Lindsey Wong","PHYS-1577"
"Alejandro Butler","ECSE-4485"
"Jason Anderson","PSYC-2531"
"Thomas Lowery","ECSE-2711"
"Samantha Walsh","ENGR-3845"
"Teresa Martin","PSYC-4665"
"Darrell Bell","CSCI-3335"
"Jeffrey Lawrence","ECSE-4680"
"Wayne Jackson","ENGR-4261"
"Patricia Johnson","MATH-2354"
"Clinton Edwards","PHYS-3368"
"Christine Johnson","PHYS-4002"
"Kevin Martinez","PSYC-4687"
"Karen Stephens","ENGR-2003"
"Cynthia Mclaughlin","PHYS-2518"
"Robert Haynes","ENGR-4683"
"Ronald West","ITWS-3550"
"Margaret Marsh","STSO-4112"
"Ariana Zuniga","BIOL-4529"
"April Martin","CHEM-1420"
"Derek Kim","PHYS-2506"
"Edward Sanders","ECSE-4029"
"Sarah George","MATH-3414"
"Molly Murphy","BIOL-1006"
"Lisa Long","CSCI-1519"
"Gregory Gentry","BIOL-4960"
"Leslie Adams","CSCI-1976"
"Jennifer Baldwin","CHEM-4102"
"Derek York","STSO-3002"
"Angela Herrera","ITWS-2270"
"Diana Smith","ITWS-4898"
"Crystal Hamilton","STSO-3708"
"Jessica Ramirez","CSCI-1037"
"Lisa Wyatt","STSO-2543"
"Kimberly Henson","CSCI-4130"
"Edward Stewart","BIOL-3853"
"Darrell Bates","BIOL-3004"
"Matthew Clements","PSYC-1828"
"Daniel Miller","CSCI-1343"
"Bailey Jackson","ECSE-3005"
"Melinda Christian","PHYS-4391"
"Evelyn Cooper","CHEM-1467"
"Mary Gibson","ITWS-2223"
"Nathan Shaw","STSO-2571"
"Jessica Anderson","ITWS-4657"
"Kenneth Mendez","MATH-4960"
"Eric Lambert","PHYS-3755"
"Diane Bray","ECSE-3915"
"Donald Hahn","ECSE-1369"
"Nicole Henderson","ECSE-2863"
"Shannon Wall","ITWS-3083"
"Amanda Glover","STSO-2445"
"Jennifer Ortiz","PHYS-3113"
"Alexander Robinson","ENGR-4167"
"Matthew Bowers","MATH-4681"
"Tracy Harrison","STSO-3173"
"Robert Horton","CHEM-2902"
"Joel Miller","ECSE-2882"
"Wanda Shaffer","STSO-4589"
"Mckenzie Guerrero","ITWS-1319"
"Sean Ray","CHEM-4708"
"Rachel Larson","ITWS-4833"
"Brian Brooks","PSYC-3308"
"Karen Hernandez","ITWS-2437"
"Randy Montgomery","PSYC-2145"
"Penny Melton","BIOL-2392"
"Lauren Adams","PHYS-2962"
"Jeffrey Forbes","CHEM-2432"
"Gloria Wheeler","BIOL-4191"
"John Montgomery","CHEM-4642"
"Joseph White","ECSE-2679"
"Chad Welch","STSO-1536"
"Brianna Mullins","ITWS-2335"
"Joseph Reyes","BIOL-2033"
"Joe Vang","ENGR-2703"
"Kyle Everett","STSO-4773"
"Brenda Goodwin","PHYS-2083"
"Sabrina Daugherty","ECSE-4136"
"William Williams","CSCI-3530"
"Rose Stephens","BIOL-2210"
"Joshua Guerra","BIOL-2746"
"Brian Perez","STSO-1409"
"Michael Flores","ENGR-4148"
"Laurie Brown","PSYC-3652"
"Ariana Oneill","CSCI-3266"
"Laura Clark","BIOL-3404"
"Jonathan Rivera","PHYS-2231"
"Cindy Palmer","PSYC-4025"
"Brian Payne","CHEM-4708"
"David Hart","BIOL-1006"
"Brittany Smith","STSO-2733"
"Jack Farmer","CSCI-4297"
"Alexandra Logan","ITWS-4204"
"Jacob Taylor","ITWS-4828"
"Alicia Kent","CSCI-1674"
"Patricia Salazar","ITWS-4267"
"Tonya Byrd","CHEM-3092"
"Jacob Stephenson","PHYS-3898"
"Donna Robinson","ENGR-4955"
"Louis Robinson","CHEM-1359"
"Courtney Little","PHYS-2874"
"Nicholas Carey","CSCI-4297"
"Kelly Jones","CSCI-3900"
"Maria Rivera","PHYS-1350"
"Jared Clark","CSCI-4521"
"Jason Young","PHYS-1207"
"Joseph Perez","ENGR-2634"
"Teresa Buchanan","PHYS-2399"
"Valerie Schultz","STSO-1566"
"Carlos Savage","ENGR-1326"
"Douglas Simon","STSO-1214"
"William Lee","MATH-1102"
"John Thornton","ECSE-2238"
"Taylor Rodriguez","ENGR-2185"
"Karen Saunders","ECSE-3689"
"Dylan Lester","PSYC-4330"
"Mary Collins","ITWS-1977"
"Tracy Lawson","ITWS-3077"
"Anthony Turner","PSYC-2222"
"Roger Haley","BIOL-4332"
"Laura Bradley","ECSE-2086"
"James Dean","PSYC-2553"
"Ronald Fisher","BIOL-2124"
"Kevin Rasmussen","CSCI-3849"
"Guy Bradley","CHEM-4664"
"Megan Lozano","ENGR-2178"
"Margaret Martinez","PSYC-4071"
"Sally Murphy","PHYS-3601"
"Cody Lang","MATH-3216"
"Alexandra Haynes","ENGR-1149"
"Levi Parker","ENGR-4187"
"Pamela Parks","CHEM-1868"
"David Graham","MATH-1937"
"Jenny Rodriguez","STSO-4617"
"Anna Boyd","ECSE-1799"
"Aaron Hull","STSO-3822"
"Joseph Lambert","PSYC-2145"
"Tammy Harmon","CHEM-2675"
"John Mendoza","CSCI-1938"
"Jonathon Scott","ECSE-2228"
"Steven Dickson","MATH-1350"
"Benjamin Perez","ENGR-4447"
"Caitlin Howard","PHYS-3907"
"Richard Gallagher","ECSE-3913"
"Zachary Welch","PHYS-3071"
"Kirk Miller","BIOL-2218"
"Leslie Perez","PHYS-4299"
"Nathan Monroe","CHEM-1136"
"Michele Cain","STSO-1409"
"Ann Hansen","ECSE-4902"
"Heather Hill","ITWS-1898"
"Amber Campbell","STSO-3469"
"Claudia Lin","CHEM-1475"
"Michael Torres","MATH-2142"
"Kayla Phillips","PSYC-1544"
"Paula Williams","BIOL-3001"
"Mitchell Griffith","CHEM-3509"
"Chelsea Prince","ITWS-2193"
"Patrick Spencer","ECSE-1969"
"Heidi Thompson","STSO-3953"
"Austin Huerta","PHYS-1027"
"Nathan Pierce","MATH-4618"
"Tammy Williams","CSCI-1621"
"April Miller","PHYS-4691"
"Mark Vang","BIOL-1286"
"Jason Moran","PHYS-1626"
"Tammy Hale","BIOL-3538"
"Cody Medina","ECSE-4982"
"Stephen Patrick","STSO-4273"
"Patrick Lee","ITWS-3445"
"Michele Williamson","PHYS-4345"
"Brian Payne","STSO-1409"
"Erin Haney","PHYS-3297"
"Anna Torres","ENGR-1326"
"Carrie Fritz","BIOL-1008"
"Joshua Clarke","CHEM-1998"
"Whitney Morrison","CSCI-4068"
"Diane Adams","ITWS-4346"
"Anthony Hunt","PHYS-4856"
"Eric Bell","MATH-4437"
"Tara Reilly","PSYC-3958"
"Sonia Bass","BIOL-1999"
"Andrea Atkins","STSO-4875"
"Valerie Leblanc","STSO-4942"
"David Torres","BIOL-4285"
"Jennifer Reese","ITWS-3837"
"Kathryn Burnett","BIOL-1767"
"James Jenkins","PSYC-4172"
"Jeremy Wolf","PSYC-4378"
"Lisa Benson","ECSE-3260"
"Debra Patterson","CSCI-4546"
"Patrick Mitchell","CSCI-2201"
"Erica Green","CHEM-4766"
"Tammy Hale","ECSE-3704"
"Valerie Camacho","ECSE-3842"
"Cheryl Casey","ITWS-3284"
"Cheryl Hardy","STSO-1439"
"Leslie Walton","PHYS-1859"
"Wanda Jones","CHEM-1142"
"Amber Garcia","MATH-2523"
"James Lindsey","PHYS-1263"
"Susan Morales","STSO-1225"
"Heidi Gordon","CSCI-2647"
"Jennifer Vance","CHEM-2702"
"Kayla Phillips","CSCI-1679"
"Ronald Collins","BIOL-4055"
"Richard Hart","ITWS-3237"
"Matthew Cook","STSO-3372"
"Brandon White","PSYC-1871"
"Brooke Montes","ITWS-1918"
"Susan Perry","CHEM-4119"
"Pamela Brown","CHEM-4745"
"Timothy Young","MATH-1599"
"Elizabeth Solis","CSCI-2441"
"Kimberly Blair","ITWS-2270"
"Joshua Martin","ITWS-1248"
"Reginald Benson","CHEM-1360"
"Nathan Scott","ENGR-2003"
"Karen Garcia","CSCI-3890"
"Cassidy Smith","CSCI-4089"
"John Tucker","ECSE-4332"
"Jeremy Adams","ITWS-3631"
"Jeffery Brown","MATH-1327"
"Pamela Rodriguez","ENGR-3516"
"Stephanie Hull","PHYS-2457"
"James Jenkins","PSYC-2585"
"Shannon Hansen","BIOL-2529"
"Nathaniel Wilson","ECSE-2426"
"Jacob Parsons","PHYS-4943"
"Sandra Mathis","PSYC-1303"
"Lisa Mcdonald","ECSE-3609"
"Heather Walker","CHEM-2955"
"Andrew Heath","PSYC-1889"
"Keith Hardin","CSCI-2786"
"Lynn Avila","MATH-1756"
"Hannah Howard","STSO-2635"
"Michele Ramirez","PHYS-1237"
"Thomas Roberts","PHYS-4166"
"Pamela Brown","STSO-1011"
"Samantha Walsh","PSYC-1974"
"Anna Stokes","BIOL-2492"
"Jessica Fernandez","ECSE-1969"
"Cheyenne Burnett","MATH-2692"
"Tracy Rice","ECSE-1799"
"Sabrina Lopez","MATH-4352"
"Christopher Robertson","PHYS-3113"
"Brianna Chang","CSCI-4517"
"Kari Pope","PSYC-4025"
"Sean Montes","PHYS-3601"
"Kevin Smith","PHYS-4051"
"Ronald West","ENGR-1133"
"Jennifer Garza","ENGR-1636"
"Caitlin Holmes","PHYS-4549"
"Laura Daniel","ENGR-2029"
"Joshua Evans","CHEM-1855"
"Jeffrey Smith","PSYC-4124"
"Dana Scott","BIOL-2285"
"Raymond Baker","MATH-1350"
"Larry Meyer","MATH-2160"
"Kelly Hendrix","CHEM-3785"
"Steven Bishop","CSCI-1734"
"Kevin Adams","ENGR-2255"
"John Davenport","CSCI-3304"
"Melinda Christian","ITWS-4537"
"Alexander Johnson","ENGR-1562"
"Rachel Hayes","STSO-3365"
"Austin Stewart","BIOL-3467"
"Thomas Cooper","ITWS-4599"
"Kenneth Green","ITWS-3878"
"Jack Williams","PHYS-1355"
"Cheryl Johnson","ECSE-3318"
"Debra King","STSO-3173"
"Richard Garza","MATH-1131"
"Mercedes Hernandez","ITWS-2862"
"Sean Roy","ENGR-1571"
"Steve Payne","ITWS-1942"
"Tyler Ramos","CSCI-2786"
"Erin Reed","ITWS-2263"
"Timothy Johnson","ITWS-4463"
"Leslie Gamble","CHEM-3259"
"Leslie Fitzpatrick","MATH-3348"
"Grace Howard","CHEM-2504"
"Diana Mcclure","CHEM-2132"
"Jennifer Henry","CSCI-2689"
"Lisa Mcneil","MATH-2418"
"Oscar Frank","PSYC-2917"
"Terri Gonzalez","ITWS-2760"
"Emily Richards","MATH-4985"
"Angela Johnson","PHYS-2761"
"Michelle Harper","STSO-2445"
"Catherine Ross","MATH-3202"
"Michael Scott","BIOL-1375"
"Laura Daniel","ENGR-1909"
"Charles Soto","CSCI-4297"
"Anthony Day","ENGR-3728"
"Sean Mosley","CSCI-1382"
"Caitlin Morris","BIOL-1178"
"Christopher Hernandez","STSO-2810"
"Charles Fuentes","CHEM-4909"
"Robert Schroeder","ITWS-4346"
"Tamara Carter","ENGR-3498"
"Michael May","ENGR-1651"
"April Owen","ITWS-3364"
"Tanya House","CSCI-3878"
"Rita Greene","ITWS-1086"
"Adam Vaughn","CSCI-2462"
"Emily Klein","CHEM-2703"
"Deborah Byrd","BIOL-3988"
"Jeffrey Singh","CHEM-1151"
"Mark Bennett","ITWS-2483"
"Joshua Aguirre","PSYC-2094"
"Jeffrey Gordon","ENGR-2338"
"Marcus Wright","CHEM-3153"
"Shawn Martin","ECSE-4993"
"Richard Bailey","ECSE-1369"
"Cody Greene","CSCI-2065"
"Jenny Lee","CSCI-1743"
"Jordan Abbott","PHYS-4345"
"Michelle Johnson","ECSE-1037"
"David Frank","ENGR-4447"
"Barbara Pennington","CSCI-2640"
"Alice Calderon","STSO-2712"
"Lindsay Murphy","PHYS-3342"
"Billy Evans","STSO-4202"
"Heather Berger","CHEM-3449"
"Christopher Wong","CSCI-3266"
"Russell Edwards","MATH-3913"
"David Larson","BIOL-4461"
"Bryan Campos","STSO-1278"
"Stephanie Sanchez","ECSE-4808"
"Kelsey Valenzuela","PHYS-4740"
"Nathan Warner","CHEM-4102"
"Katie Holland","ENGR-3827"
"Laura Roberts","ITWS-4526"
"Brian Peterson","PSYC-3625"
"Jennifer Zuniga","ECSE-1799"
"Susan Banks","ECSE-4130"
"Jacob Morris","CSCI-3900"
"Madeline Jones","ECSE-3950"
"Melissa Jones","PHYS-1485"
"Vincent Russell","ITWS-1870"
"Timothy Freeman","ITWS-1491"
"Beth Cross","CHEM-2340"
"Ruth Perez","STSO-3442"
"Mark Huff","CHEM-2821"
"Gregory Rubio","MATH-1935"
"Shawn Graves","CSCI-2984"
"Joseph Young","CHEM-1303"
"Gregg Williams","ECSE-3272"
"Brandon Curtis","MATH-2479"
"Amy Young","PHYS-4036"
"Kenneth Miller","CSCI-2441"
"Oscar Ferguson","PHYS-4188"
"Jose Donovan","STSO-3903"
"Linda Lucas","STSO-4977"
"David Miller","MATH-2576"
"Greg Myers","ENGR-4589"
"Grant Jones","MATH-1770"
"Adam Welch","CSCI-1539"
"Susan Cowan","ECSE-4124"
"Nancy Lindsey","PHYS-3134"
"Courtney Little","STSO-1926"
"James Moon","PHYS-3543"
"Jacob Wilson","ENGR-4683"
"Charles Wright","ITWS-4814"
"Ashley Murphy","CHEM-1298"
"Christina Bryant","ENGR-1960"
"Richard Madden","MATH-4352"
"James Powell","PSYC-3851"
"Emily Stephens","ITWS-2094"
"Brandon Williams","PHYS-2518"
"Andrew Wright","CHEM-1763"
"Mary Walter","CSCI-4418"
"James Young","CSCI-4112"
"Brooke Williams","PSYC-3147"
"David Baxter","PSYC-3576"
"Donald Mcgee","ITWS-3102"
"Christopher Mays","ITWS-1485"
"Aaron Hernandez","ENGR-2978"
"April Watson","MATH-2354"
"Aaron Webb","STSO-2139"
"Brandon Castillo","CHEM-3196"
"Haley Jackson","PHYS-3261"
"Patrick Hernandez","ITWS-4118"
"Robert Taylor","ENGR-2872"
"Angelica Small","ECSE-3564"
"Alejandro Butler","BIOL-3833"
"Sarah Erickson","BIOL-1337"
"Joshua Mack","BIOL-1767"
"Heather Larson","CSCI-2244"
"Sandra Smith","ECSE-3028"
"Leah Lopez","CSCI-2372"
"Omar Weaver","ENGR-2841"
"Kathryn Weaver","ECSE-2765"
"Shirley Davis","CHEM-3449"
"Cristian Herrera","ENGR-1907"
"Timothy Morales","BIOL-1994"
"Brandi Soto","PSYC-3840"
"Curtis Dalton","PHYS-3411"
"Karen Mathis","PHYS-4244"
"Christopher Rasmussen","BIOL-4218"
"Erica Chavez","PSYC-4640"
"Shawn Davis","CHEM-3686"
"Brett Lee","CSCI-3444"
"Nicole Suarez","MATH-4274"
"Edward Jones","PSYC-3628"
"Dawn Parsons","ENGR-2029"
"Andrew Wagner","MATH-4493"
"Angela Hurley","PSYC-1889"
"Daniel Young","PHYS-2083"
"Erin Thompson","MATH-2765"
"Stephanie Henderson","STSO-3487"
"William Sparks","PSYC-4687"
"Joshua Guerra","CSCI-2647"
"Joshua Juarez","PSYC-1544"
"Diana Mcclure","ENGR-4148"
"Tina Simmons","MATH-3051"
"Patrick Delgado","BIOL-4055"
"Sandra Brewer","PHYS-2506"
"Chad Lopez","PSYC-4075"
"Alan Ford","PHYS-3628"
"Lindsay Nelson","ITWS-4389"
"Stacey Price","BIOL-3412"
"David Stein","PHYS-3745"
"Arthur Lam","MATH-3310"
"Adriana Hendrix","PHYS-4143"
"Margaret Gonzalez","ENGR-2029"
"Danielle Humphrey","MATH-3350"
"Maria Wells","ECSE-1799"
"Elijah Harrell","BIOL-4947"
"Marissa Medina","ENGR-3394"
"Elizabeth Walker","MATH-2576"
"Richard White","MATH-2925"
"James Atkins","CHEM-4959"
"David Armstrong","MATH-4261"
"Jessica Aguilar","MATH-1077"
"Matthew Spencer","CHEM-3537"
"Brittany Mcneil","ENGR-2427"
"Katrina Smith","PSYC-1107"
"James Roberts","ENGR-1149"
"Donna Strickland","ITWS-3759"
"Ronald Ortega","PSYC-3958"
"Debbie Fisher","ECSE-2282"
"Devin Williams","CHEM-4745"
"Ashley Grimes","ENGR-2003"
"William Clark","CHEM-2843"
"Frank Robles","CSCI-4546"
"Annette Moore","CHEM-1136"
"Todd Vasquez","PSYC-1694"
"Wesley Wilson","STSO-3578"
"Marvin Young","MATH-3202"
"Mary Bailey","STSO-1224"
"Stephen Carlson","CSCI-2244"
"Tiffany Allison","PSYC-3719"
"Lorraine Maldonado","PSYC-2826"
"Ronald Skinner","ENGR-4081"
"Sarah Sexton","ENGR-1960"
"Catherine Russell","CSCI-3372"
"Anna Barrera","PSYC-1979"
"Ana Clayton","ENGR-1180"
"Mario Allen","STSO-4172"
"Karen Barron","PHYS-4002"
"Brett Kennedy","MATH-1077"
"Alyssa Pena","ENGR-1249"
"Tina Walker","ENGR-1920"
"Bryan Hayes","PSYC-4424"
"Kaitlin Wright","MATH-4259"
"Michael Bryant","ITWS-2695"
"Mary Burns","BIOL-4459"
"Robert Garcia","ECSE-1312"
"Steven Mcclure","CSCI-4509"
"Nathan Mcdonald","PSYC-3207"
"Pedro Murray","ECSE-2679"
"Lisa Drake","PSYC-4372"
"Mason Johnson","CSCI-1519"
"Richard Garza","ENGR-1683"
"Corey Pope","ECSE-3698"
"Alexandra Hodge","BIOL-3989"
"Kimberly Rogers","BIOL-2492"
"Joseph Bowers","STSO-3903"
"Jeffrey Brown","MATH-3079"
"James Mejia","CHEM-4469"
"Timothy Yates","PSYC-1307"
"Hunter Johnson","ECSE-3424"
"Brittney Rice","CSCI-1937"
"Jeremy Durham","BIOL-3641"
"Tonya Rocha","ENGR-1411"
"Kristin Franco","PHYS-4306"
"Lauren Banks","PSYC-4372"
"Julie Jones","MATH-4817"
"Maria Willis","PHYS-4965"
"Jessica Fitzpatrick","ITWS-2715"
"Amber Fowler","ITWS-2165"
"Vincent Chandler","PSYC-2553"
"James Cherry","ITWS-2760"
"Alan Holland","ECSE-4755"
"Blake Fernandez","BIOL-3661"
"Daniel Fowler","ECSE-2858"
"Annette Phillips","BIOL-3146"
"Jason Lopez","PSYC-2184"
"Russell Bonilla","CSCI-1307"
"Timothy Freeman","CSCI-2201"
"Cynthia Zavala","CHEM-1438"
"Adam Porter","MATH-3773"
"Glenn Nelson","STSO-1203"
"Karen Singh","BIOL-1406"
"Xavier Williams","ENGR-2621"
"Isaac Carroll","ECSE-4720"
"John Caldwell","CHEM-3316"
"William Collins","STSO-4887"
"Brandon Meza","MATH-1684"
"Nicholas Kennedy","CHEM-1787"
"Ariana Randolph","STSO-4621"
"Nicole Brown","ITWS-1387"
"Margaret Johnson","PHYS-4628"
"Alexis Orr","ECSE-4300"
"William Potter","BIOL-4397"
"Jacqueline Gibson","ITWS-4531"
"Brittany Rose","ECSE-3689"
"Michael Montgomery","BIOL-3682"
"Kaylee Smith","BIOL-4227"
"Kathleen Horton","MATH-1599"
"Anthony Diaz","ECSE-2014"
"Timothy Thomas","BIOL-1322"
"Christina Doyle","ENGR-4430"
"Christopher Wright","PHYS-1215"
"John Wilson","ITWS-2382"
"Pamela Lopez","PSYC-4729"
"Kara Sanchez","BIOL-4461"
"Billy Lawrence","BIOL-3988"
"Theresa Rodriguez","STSO-1276"
"Kristin Banks","PHYS-3828"
"Melanie Rivera","CSCI-3024"
"Robin Holloway","CHEM-4721"
"Adam Gonzalez","STSO-1276"
"Norma Clark","STSO-4878"
"Anthony Hunt","ENGR-3917"
"Paige Stein","MATH-3432"
"James Ramirez","CHEM-1475"
"Christian Gonzalez","BIOL-4935"
"Angela Smith","MATH-2926"
"Rodney Reed","PSYC-2189"
"Adam Rivas","BIOL-2880"
"Jennifer Harrison","ITWS-1227"
"Matthew Griffin","BIOL-3617"
"Heather Torres","STSO-3570"
"Christopher Watson","STSO-2167"
"Patricia Davis","ENGR-4054"
"Vincent Adams","BIOL-1528"
"Thomas Singleton","PHYS-1485"
"Richard Sims","PSYC-1147"
"Travis Johnson","CHEM-3316"
"William Armstrong","MATH-1422"
"Nathan Compton","BIOL-4339"
"Michelle Mccarty","ENGR-3740"
"Alejandro Butler","ITWS-1219"
"Johnny Turner","ITWS-2630"
"William Perkins","CSCI-4516"
"Scott Hill","ENGR-4790"
"Laura Cox","ENGR-3351"
"Jennifer Anderson","STSO-1683"
"Nathaniel Bradley","ENGR-4081"
"Earl Roberts","PSYC-2305"
"Arthur Dixon","CSCI-2372"
"Jason Young","PSYC-2356"
"Sherri Martin","ITWS-4255"
"Diane Walker","BIOL-1682"
"Kevin Johnson","PHYS-4096"
"Mathew Pham","STSO-2139"
"Christopher Mendez","CSCI-2262"
"David Williams","STSO-3761"
"Christopher Ross","MATH-3152"
"Ashley Hall","STSO-3372"
"Ryan Bartlett","STSO-2304"
"Suzanne Jones","ITWS-4325"
"Kimberly Alvarez","CHEM-3449"
"Curtis Dalton","MATH-2706"
"Natalie Jones","PSYC-4525"
"Paul Jefferson","CHEM-1819"
"Mary Kennedy","STSO-1586"
"Joshua Freeman","CSCI-3392"
"Erin King","MATH-2682"
"Vanessa Spencer","ENGR-1323"
"Susan Banks","MATH-4185"
"Anthony Pruitt","PSYC-4093"
"Timothy Price","ECSE-4755"
"Christopher Reynolds","STSO-2167"
"Carrie Bowers","MATH-4176"
"Daniel Perez","BIOL-1605"
"Tina Mueller","PSYC-4025"
"Courtney Ruiz","PHYS-3849"
"Ronnie Keith","ENGR-2882"
"Ashley Perez","ENGR-2780"
"Lisa Austin","MATH-3882"
"Norma Rodriguez","MATH-4681"
"Ashley Carroll","BIOL-3244"
"Jenna Harris","ITWS-2803"
"Sylvia Lopez","PHYS-3943"
"Robin Molina","ITWS-3755"
"Jonathan Hawkins","ECSE-3124"
"Natalie Hines","MATH-4881"
"Maria Weaver","STSO-4773"
"Richard Graham","BIOL-4629"
"Christina Matthews","PSYC-4991"
"Evelyn Crawford","STSO-4011"
"Sabrina Ramirez","ECSE-3032"
"Zoe Peters","ENGR-2871"
"Mary Smith","PHYS-3410"
"Timothy Johnson","ITWS-2789"
"Rita Smith","ENGR-1654"
"John Hudson","STSO-2169"
"Gina Cervantes","STSO-4677"
"Michelle Jefferson","STSO-4677"
"Susan Banks","STSO-2558"
"Heidi Santos","STSO-1459"
"Jessica Ali","PHYS-4096"
"Scott Owens","STSO-4932"
"Lisa York","BIOL-4961"
"Andrew Grant","ECSE-3792"
"John Leblanc","PHYS-4943"
"Lori Jones","PHYS-3755"
"Erica Martin","CSCI-4969"
"Christopher Reynolds","PHYS-4435"
"Tyler Davis","ENGR-4430"
"Matthew Howell","ECSE-4124"
"Alejandro Morgan","ECSE-4825"
"Mark Dennis","PSYC-4105"
"David Sellers","CHEM-3711"
"Zachary Collins","MATH-3122"
"Jennifer Blankenship","ECSE-4230"
"Jerry Hanson","CSCI-2443"
"Curtis Wood","CHEM-4575"
"Monica Myers","ECSE-4332"
"Dawn Jones","PHYS-3949"
"Julie Miller","PHYS-1417"
"Joseph Mahoney","ITWS-4389"
"Steven Pierce","BIOL-3146"
"Jeffrey Turner","PSYC-2939"
"Matthew Yates","PHYS-4990"
"Casey Welch","CSCI-4545"
"Mark Hess","MATH-3443"
"John Shannon","MATH-4352"
"Kaitlin Wilson","PHYS-2653"
"John Mueller","ITWS-3873"
"Thomas Mack","ECSE-2086"
"Stacy Wilcox","ECSE-2189"
"Seth Barnes","ECSE-1532"
"Kristine Vega","MATH-4042"
"Kiara Scott","PSYC-1434"
"Madeline Richardson","MATH-2843"
"Ryan Mora","ITWS-1777"
"John Grant","CHEM-2023"
"Jennifer Rice","MATH-1350"
"John Hayes","ENGR-3917"
"Jason Castro","MATH-2706"
"Mitchell Banks","BIOL-1682"
"Joseph Davis","MATH-1004"
"Adam Ortiz","BIOL-2411"
"Robin Bowman","BIOL-4964"
"Rodney Mcneil","CHEM-1875"
"Ronald Ortega","BIOL-1605"
"Pamela Rodriguez","ITWS-1378"
"Arthur Haynes","ECSE-3087"
